IPs,againsts,buildLevels,commentIds,contents,createTimes,favCounts,isDels,is_anonymous,shareCounts,siteNames,sources,user_IDs,user_locations,votes
117.136.*.*,0,6,331532417,劫匪说：没事，俺也有,2018-11-19 10:15:38,0,False,True,0,网易,ph,0,安徽省,0
113.102.*.*,1,2,330898778,有些个妇人，以为自个本事大，有魄力，动不动还瞧不起男人，不听劝告，自以为是，自以为有个性，有思想，经常更行夜走，只身游山走穴，访友会朋，出事迟早的事。养了这种不听劝的女儿还真是浪费粮食。这类还真不值得同情。,2018-11-18 12:17:22,0,False,False,0,网易,wb,989789,广东省深圳,20
116.5.*.*,0,1,331615846,广西人[喷水],2018-11-19 12:19:03,0,False,False,0,网易,ph,107368171,广东省佛山市,1
222.74.*.*,1,1,330656583,现在每个公园，景区，长期都有那些跑路的，离家出走的流浪汉，我一大男人经常跑步都能感受到那鬼鬼祟祟的黑影，单身女人千万不要在那些地方随便流连，很多犯罪都是随机的，这些命案更加可怕,2018-11-18 00:48:04,12,False,False,0,网易,ph,125943715,广东省清远市,4417
27.38.*.*,0,7,331810882,你是萨比[大笑][大笑][大笑],2018-11-19 16:53:28,0,False,False,0,网易,ph,504719,广东省深圳市,0
122.237.*.*,0,6,330829609,萨比的是你,2018-11-18 10:36:41,0,False,False,0,网易,ph,17451673,浙江省绍兴,1
117.161.*.*,0,5,333625983,你说全世界最安全的国家是哪？中国多大多少人？美国，俄罗斯，多少人？犯罪率多少？,2018-11-21 21:40:19,0,False,True,0,网易,ph,0,辽宁省沈阳市,0
14.24.*.*,0,1,330799108,说好的国内安全呢，这大嘴巴子抽的舒服不,2018-11-18 09:45:35,0,False,False,0,网易,ph,9248336,广东省广州市,2
112.10.*.*,0,7,331616219,你胡搅蛮缠的毫无逻辑，事实是嫌犯无缘无故杀害学成回国的女留学生，你自己说他够不够野蛮？你还拿什么遮羞布给他遮挡？拿人格挡得住这种野蛮行为？事实是他自己在践踏自己的人格！他和你一样的思维方式，在做这种野蛮的杀人行为时，把基本人格丢弃到一边践踏。罪行被发现被抓获了，跑出来扯人格。你是不是还要说不该剥夺杀人犯的自由权生命权政治权？,2018-11-19 12:19:24,0,False,True,0,网易,ph,0,浙江省杭州,0
60.178.*.*,3,2,330659977,18岁时独自逛过西湖灵隐那边景区，然后迷路了，晚上七八点才摸回家，还是上了一辆载有好几个男人的出租车😓回到家时外公听我说完还说我遇事冷静，其实是没遇到坏人[不屑],2018-11-18 01:04:01,1,False,True,0,网易,ph,0,浙江省宁波,1035
171.44.*.*,0,1,332001728,冤、、、彻查、严惩、、、,2018-11-19 20:47:07,0,False,False,0,网易,wb,4213156,湖北省十堰,0
114.252.*.*,1,2,330680892,该说弱智吗？人格平等！按你这破逻辑，人还分369了？滚回你的封建王朝好么？杀人自有杀人的处罚，但人格平等。,2018-11-18 04:01:20,0,False,False,0,网易,ph,102937265,北京市海淀区,28
221.2.*.*,0,1,333307295,嫌疑人已被抓,2018-11-21 14:39:24,0,False,False,0,网易,wb,117091331,山东省临沂,0
112.65.*.*,0,12,330853766,二瘘你是不是智障，你自己说的人格 就是 尊严，人格和尊严是一回事吗？语言组织差的一塌糊涂，再看看你四瘘，第一句 或许或许不是[大笑] 什么鬼？逗号句号乱七八糟用，再配个垃圾佛教徒名字，你真是24k纯沙币,2018-11-18 11:13:16,0,False,True,0,网易,ph,0,上海市浦东新区,4
223.72.*.*,0,1,330672476,一个渣子害死一个精心培养的精英人才，该凌迟！,2018-11-18 02:12:47,0,False,False,0,网易,ph,122845690,北京市,68
180.97.*.*,0,8,330963620,让更多的人吸取教训，以后有防范意识，人都死了，空喊道德口号，还有什么意义？,2018-11-18 13:52:43,0,False,False,0,网易,ph,125943715,广东省清远市,0
122.238.*.*,18,1,330650629,外来流动人，真的要好好加强管理，像有前科的人员应该不能让他在随意流动,2018-11-18 00:24:21,0,False,True,0,网易,ph,0,浙江省嘉兴市,3108
114.252.*.*,0,6,330686233,好笑了，真的要撕掉这最后的遮羞布么？野蛮就在这块布的后面！好好想想。,2018-11-18 04:50:02,0,False,False,0,网易,ph,102937265,北京市海淀区,2
